title,# pages,year of publication,author,publisher,year of birth,year of death,nationality,sex,language,
la valle oscura,309,2020,anna wiener,adelphi,1987,/,USA,f,italiano,
gioco all'alba,152,1961,arthur schnitzler,adelphi,1862,1931,AUSTRIA,m,italiano,
il ritorno di casanova,149,1900,arthur schnitzler,adelphi,1862,1931,AUSTRIA,m,italiano,
helgoland,227,2020,carlo rovelli,adelphi,1956,/,ITALY,m,italiano,
"godel, escher, bach",852,1979,douglas r. hofstadter,adelphi,1977,/,USA,m,italiano,
quando la terra aveva due lune,445,2021,erik asphaug,adelphi,1961,/,NORWAY,m,italiano,
lo zen e il tiro con l'arco,100,1948,eugen herrigel,adelphi,1884,1955,GERMANY,m,italiano,
il tao della fisica,381,1975,fritjof capra,adelphi,1939,/,AUSTRIA,m,italiano,
inquietanti azioni a distanza,348,2015,geroge musser,adelphi,195,/,USA,m,italiano,
siddharta,180,1922,hermann hesse,adelphi,1877,1962,GERMANY,m,italiano,
sender prager,74,2015,i.j. singer,adelphi,1893,1944,POLAND,m,italiano,
sulla realtà dei quanti - un dialogo galileiano,137,1996,J.M. Jauch,adelphi,1914,1974,SWITZERLAND-USA,m,italiano,
massa,287,2019,jim baggott,adelphi,1957,/,ENGLAND,m,italiano,
origini,438,2017,jim baggott,adelphi,1957,/,ENGLAND,m,italiano,
dicibile e indicibile in meccanica quantistica,390,1987,john s. bell,adelphi,1928,1990,ENGLAND,m,italiano,
giobbe - romanzo di un uomo semplice,195,1930,joseph roth ,adelphi,1894,1939,AUSTRIA,m,italiano,
la cripta dei cappuccini,195,1950,joseph roth ,adelphi,1894,1939,AUSTRIA,m,italiano,
la leggenda del santo bevitore,77,1939,joseph roth ,adelphi,1894,1939,AUSTRIA,m,italiano,
pensieri diversi,163,1977,ludwig wittgenstein,adelphi,1889,1951,AUSTRIA-ENGLAND,m,italiano,
e allora siamo andati via,134,2001,micheal kimball,adelphi,1967,/,USA,m,italiano,
il mio biliardo,184,2001,mordecai richler,adelphi,1931,2001,CANADA,m,italiano,
la versione di barney,490,1997,mordecai richler,adelphi,1931,2001,CANADA,m,italiano,
l'uomo che scambiò sua moglie per un cappello,318,1985,oliver sacks,adelphi,1923,2015,ENGLAND,m,italiano,
su una gamba sola,241,1984,oliver sacks,adelphi,1923,2015,ENGLAND,m,italiano,
andorra,236,2014,peter cameron,adelphi,1959,/,USA,m,italiano,
coral glynn,212,2012,peter cameron,adelphi,1959,/,USA,m,italiano,
cose che succedono la notte,241,2020,peter cameron,adelphi,1959,/,USA,m,italiano,
gli inconvenienti della vita,122,2018,peter cameron,adelphi,1959,/,USA,m,italiano,
il weekend,177,2013,peter cameron,adelphi,1959,/,USA,m,italiano,
paura della matematica,104,2008,peter cameron,adelphi,1959,/,USA,m,italiano,
quella sera dorata,318,2006,peter cameron,adelphi,1959,/,USA,m,italiano,
un  questo dolore ti sarà utile,206,2010,peter cameron,adelphi,1959,/,USA,m,italiano,
la luce della notte,460,2009,pietro citati,adelphi,1930,/,ITALY,m,italiano,
qed,195,1985,richard feynman,adelphi,1918,1988,USA,m,italiano,
sei pezzi facili,212,1995,richard feynman,adelphi,1918,1988,USA,m,italiano,
sei pezzi meno facili,223,1997,richard feynman,adelphi,1918,1988,USA,m,italiano,
 il senso delle cose,125,1998,richard feynman,adelphi,1918,1988,USA,m,italiano,
il libro del graal,343,2005,robert de boron,adelphi,/,1212,FRANCE,m,italiano,
il libro di tutti i libri,555,2019,roberto calasso,adelphi,1941,2021,ITALY,m,italiano,
le nozze di cadmo e armonia,479,1988,roberto calasso,adelphi,1941,2021,ITALY,m,italiano,
Il più grande uomo scimmia del Pleistocene,184,1960,roy lewis,adelphi,1913,1996,ENGLAND,m,italiano,
il cucchiaino scomparso,407,2010,sam kean,adelphi,/,/,USA,m,italiano,
Riflessioni sugli ultimi fatti relativi alle Isole Falkland (1771),109,1982,samuel johnson,adelphi,1709,1784,ENGLAND,m,italiano,
il soccombente,167,1999,thomas bernhard,adelphi,1931,1989,AUSTRIA-ENGLAND,m,italiano,
luce d'agosto,423,1932,william faulkner,adelphi,1897,1962,USA,m,italiano,
mentre morivo,231,1930,william faulkner,adelphi,1897,1962,USA,m,italiano,
pasto nudo,273,2006,william s. burroughs,adelphi,1914,1997,USA,m,italiano,
infinite jest,1079,1996,david foster wallace,back bay books,1962,2008,USA,m,italiano,
supergods ,451,2011,grant morrison,bao,1960,/,SCOTLAND,m,italiano,
the gospel according to david foster wallace,136,2016,adam s. miller,bloomsbury,,,USA,m,,
gesturing towards reality: david foster wallace and philosophy,280,2014,robert k. bolger / scott korb,bloomsbury,,,,m,,
david foster wallace's infinite jest: a reader's guide,121,2010,stephen j. burn,bloomsbury,,/,USA,m,english,
relatività,326,1916,albert einstein,bollati boringhieri,1879,1955,GERMANY,m,italiano,
"spazio, tempo e gravitazione",272,1920,arthur eddington,bollati boringhieri,1882,1944,ENGLAND,m,italiano,
l'origine delle specie,580,1859,charles darwin,bollati boringhieri,1809,1882,ENGLAND,m,italiano,
il pensiero matematico,344,1953,edward stabler,bollati boringhieri,/,/,USA,m,italiano,
i fratelli Ashkenaze,759,1937,i.j. singer,bollati boringhieri,1893,1944,POLAND,m,italiano,
il mondo dei quanti ,278,2004,kenneth w. ford,bollati boringhieri,1926,/,USA,m,italiano,
cosmologie a confronto,216,1973,VV.AA.,bollati boringhieri, /,/,/,m,italiano,
fisica e oltre - incontri con i protagonisti 1920 - 1965,272,1971,werner heisenberg,bollati boringhieri,1901,1976,GERMANY,m,italiano,
universo in espansione,217,1964,william bonnor,bollati boringhieri,1920,2015,ENGLAND,m,italiano,
casi e caos,185,1992,david ruelle,bollati boringhieri,1935,/,BELGIUM,m,italiano,
il signore degli anelli,1264,1955,j.r.r.tolkien,bompiani,1892,1973,ENGLAND,m,italiano,
il silmarillion,682,1977,j.r.r.tolkien,bompiani,1892,1973,ENGLAND,m,italiano,
la caduta di gondolin,304,2018,j.r.r.tolkien,bompiani,1892,1973,ENGLAND,m,italiano,
lo hobbit annotato,422,1937,j.r.r.tolkien,bompiani,1892,1973,ENGLAND,m,italiano,
un uomo senza patria,126,2005,kurt vonnegut,bompiani,1922,2007,USA,m,italiano,
l'universo e einstein,135,1966,lincoln barrett,bompiani,1909,1979,USA ,m ,italiano,
il pendolo di foucault,509,1988,umberto eco,bompiani,1932,2016,ITALY,m,italiano,
l'isola del  prima,473,1994,umberto eco,bompiani,1932,2016,ITALY,m,italiano,
2010 - odissea due,362,1982,arthur c. clarke,BUR,1917,2008,ENGLAND,m,italiano,
foglie d'erba,503,1855,walt whitman,BUR,1819,1892,USA,m,italiano,
la strada che porta alla realtà,1141,2004,roger pensore,BUR ,1931,,ENGLAND,m,italiano,
buchi neri e universi neonati,213,1993,s.w. hawking,BUR ,1942,2018,ENGLAND,m,italiano,
dal big bang ai buchi neri,224,1988,s.w. hawking,BUR ,1942,2018,ENGLAND,m,italiano,
la grande storia del tempo,208,2005,s.w. hawking,BUR ,1942,2018,ENGLAND,m,italiano,
la teoria del tutto,192,1996,s.w. hawking,BUR ,1942,2018,ENGLAND,m,italiano,
la natura dello spazio e del tempo,176,1996,s.w. hawking / roger penrose,BUR ,1942 - 1931 ,2018 - /,ENGLAND,m,italiano,
metello,327,1955,vasco pratolini,BUR ,1913,1991,ITALY,m,italiano,
pane e bugie,328,2013,dario bressanini,chiarelettere,1963,/,ITALY,m,italiano,
il giocatore,267,1866,fedor m. dostoevskij,club degli editori,1821,1881,RUSSIA,m,italiano,
civiltà extraterrestri,283,1979,isaac asimov,club degli editori,1920,1992,RUSSIA-USA,m,italiano,
il collasso dell'universo,243,1977,isaac asimov,club degli editori,1920,1992,RUSSIA-USA,m,italiano,
the return of sherlock holmes,370,1905,arthur conan doyle,collins classics,1859,1930,ENGLAND,m,english,
a midsummer night's dream,224,1605,william shakespeare,collins classics,/,1616,ENGLAND,m,english,
il processo ,240,1925,franz kafka,crescere edizioni,1883,1924,BOHEMIA,m,italiano,
il profeta ,128,1923,kahlil gibran,crescere edizioni,1883,1913,LEBANON-USA,m,italiano,
i pianeti e le stelle,278,1975,giuseppe de florentis,de vecchi editore,1893,1978,ITALY,m,italiano,
astronomia - guida illustrata,328,1980,david baker,editori laterza,1944,/,ENGLAND,m,italiano,
perché il mondo è matematico/,120,1992,john d. barrow,editori laterza,1952,2020,ENGLAND,m,italiano,
vi racconto l'astronomia,171,2002,margherita hack,editori laterza,1922,2013,ITALY,f,italiano,
la nascita della scienza moderna in europa,440,1997,paolo rossi,editori laterza,1956,2020,ITALY,m,italiano,
la vita quotidiana nel medioevo,264,1972,robert delort,editori laterza,1932,/,FRANCE ,m,italiano,
storia del nulla,222,2003,sergio givone,editori laterza,1944,/,ITALY,m,italiano,
lineamenti di storia delle religioni,352,1984,ambrogio donini,editori riuniti,1903,1991,ITALY,m,italiano,
storia della scienza,1100,1965,john d. bernal,editori riuniti,1901,1971,IRELAND,m,italiano,
l'ateismo moderno,295,1963,michel verret,editori riuniti,1927,2017,FRANCE,m,italiano,
il big bang non c'è mai stato,494,1991,eric j lerner,edizioni dedalo,1947,/,USA,m,italiano,
fisica per poeti,390,1978,robert h. march,edizioni dedalo,1937,2015,USA,m,italiano,
sul ring delle ombre,443,2000,steven heighton,edizioni e/o,1961,2022,CANADA,m,italiano,
la voglia dei cazzi ,139,2013,alessandro barbero,edizioni mercuriao,1959,/,ITALY,m,italiano,
lettere di condannati a morte della resistenza italiana,379,1952,VV.AA.,einaudi,/,/,/,/,italiano,
trilogia della città di k ,379,1986,agota kristof,einaudi,1935,2011,HUNGARY,f,italiano,
una giornata di ivan denisovic,174,1963,aleksandr solzenicyn,einaudi,1918,2008,RUSSIA ,m,italiano,
il velo di einstein,218,2003,anton zeilinger,einaudi,1945,/,AUSTRIA,m,italiano,
vita di galileo,251,1943,bertolt brecht,einaudi,1898,1956,GERMANY,m,italiano,
civiltà sepolte - il romanzo dell'archeologia,502,1957,c. w. ceram,einaudi,1915,1972,GERMANY,m,italiano,
le poesie,338,V.Y.,cesare pavese,einaudi,1908,1950,ITALY,m,italiano,
consigli a un giovane ribelle,120,2001,christopher hitchens,einaudi,1949,2011,ENGLAND-USA,m,italiano,
figlio di dio,168,1973,cormac mccarthy,einaudi,1933,/,USA,m,italiano,
il buio fuori,208,1968,cormac mccarthy,einaudi,1933,/,USA,m,italiano,
la strada ,218,2006,cormac mccarthy,einaudi,1933,/,USA,m,italiano,
meridiano di sangue,344,1985,cormac mccarthy,einaudi,1933,/,USA,m,italiano,
non è un paese per vecchi,251,2005,cormac mccarthy,einaudi,1933,/,USA,m,italiano,
sunset limited,116,2006,cormac mccarthy,einaudi,1933,/,USA,m,italiano,
suttre,560,1979,cormac mccarthy,einaudi,1933,/,USA,m,italiano,
trilogia della frontiera,1034,1992,cormac mccarthy,einaudi,1933,/,USA,m,italiano,
considera l'aragosta,383,2005,david foster wallace,einaudi,1962,2008,USA,m,italiano,
infinite jest,1281,1996,david foster wallace,einaudi,1962,2008,USA,m,italiano,
la scopa del sistema,553,1987,david foster wallace,einaudi,1962,2008,USA,m,italiano,
americana,400,1971,don delillo,einaudi,1935,/,USA,m ,italiano,
cosmopolis,180,2003,don delillo,einaudi,1935,/,USA,m ,italiano,
underworld,885,1997,don delillo,einaudi,1935,/,USA,m ,italiano,
flatlandia,138,1884,edwin a. abbott,einaudi,1938,1926,ENGLAND,m,italiano,
"galassie, nuclei e quasar",188,1975,fred hoyle,einaudi,1915,1986,ENGLAND,m,italiano,
amsterdam,170,1998,ian mcewan,einaudi,1948,/,ENGLAND,m,italiano,
cortesie per gli ospiti,134,1981,ian mcewan,einaudi,1948,/,ENGLAND,m,italiano,
il giovane holden,242,1951,j.d. salinger,einaudi,1919,2010,USA,m,italiano,
la fisica dei supereroi,395,2005,james kakalios,einaudi,1958,/,USA,m,italiano,
"armi, acciaio e malattie",402,1997,jared diamond,einaudi,1937,/,USA,m,italiano,
collasso,566,2005,jared diamond,einaudi,1937,/,USA,m,italiano,
crisi,512,2019,jared diamond,einaudi,1937,/,USA,m,italiano,
domani nella battaglia pensa a me,283,1994,javier marias,einaudi,1951,/,SPAIN,m,italiano,
i vichinghi ,294,1960,johannes brondsted,einaudi,1890,1965,DENMARK,m,italiano,
cina: una storia millenaria,629,2012,kai vogelsang,einaudi,1969,/,GERMANY,m,italiano,
odissea,716,1963,omero,einaudi,/,/,GREECE,m,italiano,
il castello bianco,174,1979,orhan pamuk,einaudi,1952,/,TURKEY,m,italiano,
il mio nome è rosso,445,1998,orhan pamuk,einaudi,1952,/,TURKEY,m,italiano,
moon palace,328,1989,paul auster,einaudi,1947,/,USA,m,italiano,
trilogia di new york,314,1987,paul auster,einaudi,1947,/,USA,m,italiano,
leviatano,285,1992,paul auster,einaudi,1947,/,USA,m,italiano,
everyman,124,2006,philip roth,einaudi,1933,2018,USA,m,italiano,
lo scrittore fantasma,146,1979,philip roth,einaudi,1933,2018,USA,m,italiano,
pastorale americana,458,1997,philip roth,einaudi,1933,2018,USA,m,italiano,
dialoghi,567,1988,platone,einaudi,/,/,GREECE,m,italiano,
la grande macchina,244,1966,robert jungk,einaudi,1913,1994,GERMANY,m,italiano,
le più antiche storie del mondo,241,1952,theodor h. gaster,einaudi,1906,1992,ENGLAND-USA,m,italiano,
la rivoluzione copernicana,363,1957,thomas s. kuhn,einaudi,1922,1996,USA,m,italiano,
la conquista dell'america,320,1992,Tzvetan Todorov,einaudi,1939,201/,BULGARY-FRANCE,m,italiano,
l'urlo e il furore,318,1929,william faulkner,einaudi,1897,1962,USA,m,italiano,
crossroads,613,2021,jonathan franzen,einaudi,1959,/,USA,m,italiano,
cronaca di una morte annunciata,90,1991,gabriel garcia marquez,einaudi,1927,2014,COLOMBIA,m,italiano,
il comportamento sociale degli animali,215,1953,niko tinbergen,einaudi,1907,1988,HOLLAND,m,italiano,
dal mondo del pressappoco all'universo di precisione,134,1961,alexandre koyré,einaudi,1892,1964,FRANCE,m,italiano,
l'evoluzione,243,1965,giuseppe montalenti,einaudi,1904,1990,ITALY,m,italiano,
breve storia del pensiero scientifico,484,1959,charles singer,einaudi,1876,1960,ENGLAND,m,italiano,
everything and more,352,2003,david foster wallace,everything and more,1962,2008,USA,m,italiano,
la sindrome di atlantide,303,2001,paul jordan,fabbri editore,,,,m,italiano,
il popolo dell'autunno,239,1962,ray bradbury,fabbri editore,1920,2012,USA,m,italiano,
"nulla, solo la notte",138,1948,john williams,fazi editore,1922,1994,USA,m,italiano,
chronicles,270,2004,bob dylan,feltrinelli,1941,/,USA,m,italiano,
tarantula,340,1966,bob dylan,feltrinelli,1941,/,USA,m,italiano,
dell'origine,214,/,eraclito,feltrinelli,-535,-475,GREECE,m,italiano,
il gattopardo,299,1957,giuseppe tomasi di lampedusa,feltrinelli,1896,1957,ITALY,m,italiano,
il maestro e margherita,552,1940,mikhail bulgakov,feltrinelli,1891,1940,RUSSIA,m,italiano,
cent'anni di solitudine,426,1967,gabriel garcia marquez,feltrinelli,1927,2014,COLOMBIA,m,italiano,
scienza e politica nel mondo antico,218,1946,benjamin farrington,feltrinelli,1891,1974,IRELAND,m,italiano,
linguaggio e mito,143,1959,ernst cassirer,garzanti,1874,1945,GERMANY,m,italiano,
homo faber,284,1957,frisch,garzanti,1911,1991,SWITZERLAND,m,italiano,
andromeda,344,1969,micheal crichton,garzanti,1942,2008,USA,m,italiano,
in una notte buia uscii dalla mia casa silenziosa,192,1997,peter handke,garzanti,1942,/,AUSTRIA,m,italiano,
gargantua e pantagruele,875,1532,francesco rabelais,gherardo casini editore,1483-1494,1553,FRANCE,m,italiano,
guida turistica dell'universo,287,2021,emiliano ricci,giunti,1964,/,ITALY,m,italiano,
buchi neri l'oscura energia del cosmo,64,2003,shantena augusto sabbadini,gribaudo,1943,/,ITALY,m,italiano,
universo - conoscerlo per vederlo,192,2011,salvatore albano,il castello,1966,/,ITALY,m,italiano,
vita e morte dell'ordine dei templari,326,2005,Alain Demurger,Il giornale,1939,/,FRANCE,m,italiano,
cavalieri e cavalleria nel medioevo,286,1999,Jean Flori,Il giornale,1936,2018,FRANCE,m,italiano,
la grande storia delle crociate - volume primo,408,1999,jean richard,il giornale,1921,2021,FRANCE,m,italiano,
la grande storia delle crociate - volume secondo,803,1999,jean richard,il giornale,1921,2021,FRANCE,m,italiano,
l'equazione di dio,223,1999,amir d. aczel,il saggiatore,1950,2015,ISRAEL,m,italiano,
chronic city,457,2009,jonathan lethem,il saggiatore,1964,/,USA,m,italiano,
the legacy of david foster wallace,270,2012,samuel cohen - lee konstantinou,iowa,/,/,USA,m,italiano,
la vera storia del pirata long john silver,512,1998,bjorn larsson,iperborea,1953,/,SWEDEN,m,italiano,
il pastore d'islanda,160,2016,gunnar gunnarson,iperborea,1889,1975,ICELAND,m,italiano,
crepitio di stelle,256,2020,jon kalman stefansson,iperborea,1963,/,ICELAND,m,italiano,
grande come l'universo,429,2015,jon kalman stefansson,iperborea,1963,/,ICELAND,m,italiano,
il cuore dell'uomo,320,2011,jon kalman stefansson,iperborea,1963,/,ICELAND,m,italiano,
la tua assenza è tenebra,608,2020,jon kalman stefansson,iperborea,1963,/,ICELAND,m,italiano,
paradiso e inferno,240,2007,jon kalman stefansson,iperborea,1963,/,ICELAND,m,italiano,
storia di asta,325,2017,jon kalman stefansson,iperborea,1963,/,ICELAND,m,italiano,
norwegian blues,379,2014,levi henriksen,iperborea,1964,/,NORWAY,m,italiano,
il messia con la gamba di legno,136,1990,peter nilson ,iperborea,1937,1998,SWEDEN,m,italiano,
i giochi della notte,168,1947,stig dagerman,iperborea,1923,1954,SWEDEN,m,italiano,
fiabe finlandesi,224,2021,VV.AA.,iperborea,/,/,/,/,italiano,
fiabe svedesi,224,2017,VV.AA.,iperborea,/,/,/,/,italiano,
