title,# pages,year of publication,author,publisher,year of birth,year of death,nationality,sex,language,
caccia al tesoro nell'universo,237,2009,lucy hawking / s.w. hawking,mondadori,1962 - 1942,/ - 2018,ENGLAND,f / m,italiano,
la chiave segreta dell'universo,223,2007,lucy hawking / s.w. hawking,mondadori,1962 - 1942,/ - 2018,ENGLAND,f / m,italiano,
enigma 1973,151,1963,mark phillips - randall philip garrett ,mondadori,1933 - 1927,2002 - 1987,USA,m,italiano,oscar fantascienza 899
superforza - verso una teoria unificata dell'universo,313,1984,paul davies,mondadori,1946,/,USA,m,italiano,
l'enigma della gravitazione,214,1968,peter g. bergmann,mondadori,1915,2002,GERMANY,m,italiano,
dalla microsifica alla macrofisica,229,1974,piero caldirola,mondadori,1914,1984,ITALY,m,italiano,
la fine del silenzio,291,1944,raymond f. jones,mondadori,1915,1994,USA,m,italiano,oscar fantascienza 889
i figli di matusalemme,167,1958,robert a. heinlein,mondadori,1907,1988,USA ,m,italiano,oscar 821
la porta sull'estate,167,1957,robert a. heinlein,mondadori,1907,1988,USA ,m,italiano,classici urania 64
universo,171,1965,robert a. heinlein,mondadori,1907,1988,USA ,m,italiano,classici urania 1
breve storia della mia vita,134,2013,s.w. hawking,mondadori,1942,2018,ENGLAND,m,italiano,
versi satanici,576,1988,salman rushdie,mondadori,1947,/,INDIA-ENGLAND-USA,m,italiano,
i primi tre minuti,217,1977,steven weinberg,mondadori,1933,2021,USA,m,italiano,
infinito,310,1994,tullio regge,mondadori,1931,2014,ITALY,m,italiano,
l'ultimo  di un condannato a morte,98,1829,victor hugo,mondadori,1802,1885,FRANCE,m,italiano,
il borgo,424,1940,william faulkner,mondadori,1897,1962,USA,m,italiano,
"scendi, mosè",387,1942,william faulkner,mondadori,1897,1962,USA,m,italiano,
amleto,347,1601,william shakespeare,mondadori,/,1616,ENGLAND,m,italiano,
il mercante di venezia,213,1598,william shakespeare,mondadori,/,1616,ENGLAND,m,italiano,
macbeth,204,1606,william shakespeare,mondadori,/,1616,ENGLAND,m,italiano,
l'incantatrice di firenze,375,2008,salman rushdie,mondadori,1947,/,INDIA-ENGLAND-USA,m,italiano,
il significato della relatività - il mondo come io lo vedo,256,1934,albert einstein,newton compton,1879,1955,GERMANY,m,italiano,
breve storia delle religioni,298,1991,ambrogio donini,newton compton,1903,1991,ITALY,m,italiano,
Racconti del terrore,125,1845,Edgar Allan Poe,newton compton,1809,1949,USA,m,italiano,
il rosso e il nero,380,1830,stendhal,newton compton,1783,1842,FRANCE,m,italiano,
sogno di una notte di mezza estate,153,1590,william shakespeare,newton compton,1564,1616,ENGLAND,m,italiano,
le armi di isher,454,1946,a.e. van vogt,nord,1912,2000,CANADA,m,italiano,cosmo oro 33
il guardiano degli innocenti,372,1993,andrzej sapkowski,nord,1948,/,POLAND,m,italiano,
il pianeta nell'occhio del tempo,160,1970,brian earnshaw,nord,1929,/,ENGLAND,m,italiano,cosmo 2
la pista dei mutanti,150,1975,dean r. koontz,nord,1945,/,USA,m,italiano,cosmo 73
il pianeta dei dannati,270,1962,harry harrison,nord,1925,2012,USA,m,italiano,cosmo oro 57
l'atomo stagnante,182,1963,jeff sutton,nord,1913,1979,USA,m,italiano,cosmo 3
furia dall'ignoto,224,1965,lloyd biggle jr. ,nord,1923,2002,USA,m,italiano,cosmo 4
iseneg,191,1990,luigi menghini,nord,1946,/,ITALY,m,italiano,cosmo 211
la civiltà dei solari,170,1966,norman spinrad,nord,1940,/,USA ,m,italiano,cosmo 1
antologia internazionale di fantascienza,294,1987,VV.AA.,nord,/,/,/,/,italiano,cosmo 181
the planets - their origin and development,245,1952,harold c. urey,oxford,1893,1981,USA,m,english,
nel cuore della cometa,574,1986,gregory benford - David Brin,penguin classic,1941  & 1950,/,USA,m,italiano,tascabili 8.22
il gioco di gerald,368,1992,stephen king,pickwick,1947,/,USA,m,italiano,
entanglement,260,2001,amir d. aczel,raffaello cortina editore,1950,2015,ISRAEL,m,italiano,
i conigli di schrodinger,323,2004,colin bruce,raffaello cortina editore,,/,ENGLAND,m,italiano,
il mistero della massa mancante nell'universo,496,2000,lawrence krauss,raffaello cortina editore,1954,/,USA,m,italiano,
frankenstein,273,1818,mary shelley,raffaello cortina editore,1797,1851,ENGLAND,f,english,
alice nel paese dei quanti,247,1994,robert gilmore,raffaello cortina editore,1941,/,USA,m,italiano,
contatto cosmico ,304,1973,carl sagan,rizzoli,1934,1996,USA,m,italiano,
in un volo di storni. le meraviglie dei sistemi complessi,124,2021,giorgio parisi,rizzoli,1948,/,ITALY,m,italiano,
stelle come polvere,284,1951,isaac asimov,rizzoli,1920,1992,RUSSIA-USA,m,italiano,cosmo oro 3
supernove,256,1985,isaac asimov,rizzoli,1920,1992,RUSSIA-USA,m,italiano,
le affinità elettive,364,1809,j wolfgang goethe,rizzoli,1749,1832,GERMANY,m,italiano,
il milione,514,1298,marco polo,rizzoli,1254,1324,ITALY,m,italiano,
il quanto di natale,317,1996,robert gilmore,rizzoli,1941,/,USA,m,italiano,
l'arcobaleno della gravità,1039,1973,thomas pinchon,rizzoli,1937,/,USA,m,italiano,
l'enigma dei numeri primi,606,2003,marcus du sautoy,rizzoli,1965,/,ENGLAND,m,italiano,
breve storia del cosmo,245,1998,gerard staguhn,salani,1952,/,GERMANY,m,italiano,
la letteratura cinese,470,1968,giuliano bertuccioli,sansoni,1923,2001,ITALY,m,italiano,
alabama,262,2021,alessandro barbero,sellerio editore,1959,/,ITALY,m,italiano,
le isole aran,187,1907,j.m. synge,sellerio editore,1871,1909,IRELAND,m,italiano,
a proposito dell'esistenza di dio,164,2022,mario motta,sellerio editore,1923,2013,ITALY,m,italiano,
lo zen e l'arte della manutenzione della motocicletta,402,1974,robert m. pirsig,superpocket,1928,2017,USA,m,italiano,
the golden age of dc comics 1935-1956,672,2012,paul levitz,taschen,1956,/,USA,m,english,
breve storia di quasi tutto,589,2003,bill bryson,tea,1951,/,USA,m,italiano,
notizie da un'isoletta,320,1995,bill bryson,tea,1951,/,USA,m,italiano,
